No,Inglés ,Español ,Genero,Inventores,No. De inventore/Patente,Mujeres/Patente,Hombres/Patente,Register IMPI,Fecha de presentación ,TAE (Año),Estatus ,No. Inventores/Proyecto ,No. Hombres/Proyecto,No. Mujeres/Proyecto ,Número de ideas / Proyecto ,Aportación complementaria a sueldos y salarios / Proyecto,Servicios Externos y comerciales ,Servicios del IMPI,Monto total aprobado / Proyecto,N. de cesiones 
1.00,Safety Childrenseatbelt,Sistema y Metodo de Detección de Infantes en un Vehículo Para el Control de los Cinturones de Seguridad ,H,Luis Ferardo Rojas Villanueva,1.00,0.00,1.00,MX/a/2014/015718,17/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
2.00,Mirror Thief Event Detection ,Sistema Antirrobo de Espejos Exteriores y Metodo para activar un identificador de evento de robo del mismo,H,Ernesto Amexcua Maciel ,3.00,0.00,3.00,MX/a/2014/015659,18/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
2.00,Mirror Thief Event Detection ,Sistema Antirrobo de Espejos Exteriores y Metodo para activar un identificador de evento de robo del mismo,H,Ignacio Padilla Rabadan ,3.00,0.00,3.00,MX/a/2014/015659,18/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
2.00,Mirror Thief Event Detection ,Sistema Antirrobo de Espejos Exteriores y Metodo para activar un identificador de evento de robo del mismo,H,David Cruz Mendez ,3.00,0.00,3.00,MX/a/2014/015659,18/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
3.00,"Permission System for Routes, Zones And Destinatios for Self-Driving Cards ","Sistema de permisos de rutas, zonas y destinos para vehiculos auto conducidos",H,Miguel Alejandro Fernandez Garcia,4.00,1.00,3.00,Mx/a/2014/016124,19/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
3.00,"Permission System for Routes, Zones And Destinatios for Self-Driving Cards ","Sistema de permisos de rutas, zonas y destinos para vehiculos auto conducidos",H,Oscar Ivan Suarez Ramirez,4.00,1.00,3.00,Mx/a/2014/016124,19/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
3.00,"Permission System for Routes, Zones And Destinatios for Self-Driving Cards ","Sistema de permisos de rutas, zonas y destinos para vehiculos auto conducidos",M,Perla Yadira Guzman Muñiz,4.00,1.00,3.00,Mx/a/2014/016124,19/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
3.00,"Permission System for Routes, Zones And Destinatios for Self-Driving Cards ","Sistema de permisos de rutas, zonas y destinos para vehiculos auto conducidos",H,Jorge Reyes Marquez,4.00,1.00,3.00,Mx/a/2014/016124,22/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
4.00,Thermal Conductive Injection Molding Uses Fr Thermal Disipation At Electronic Devices ,Uso del modelo por Inyección Termicamente Conductiva para Disipación Termica Aplicada en Dispositivos Electronicos ,H,Enrique Chavez Luna,3.00,0.00,3.00,MX/a/2014/012924,22/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
4.00,Thermal Conductive Injection Molding Uses Fr Thermal Disipation At Electronic Devices ,Uso del modelo por Inyección Termicamente Conductiva para Disipación Termica Aplicada en Dispositivos Electronicos ,H,Ocvio Samano Cancino,3.00,0.00,3.00,MX/a/2014/012924,22/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
4.00,Thermal Conductive Injection Molding Uses Fr Thermal Disipation At Electronic Devices ,Uso del modelo por Inyección Termicamente Conductiva para Disipación Termica Aplicada en Dispositivos Electronicos ,H,Manuel Jimenez Barragan,3.00,0.00,3.00,MX/a/2014/012924,22/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
5.00,"High Intensity Lights Detection Method, Omitting Red Light",Metodo para detectar Luces de intensidad Alta Velocidad Omitiendo Luces Rojas ,H,Hugo Ricardo Ramos Lara ,1.00,0.00,1.00,MX/a/2014/013831,13/11/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
