YEAR,LOCATION,RESOURCE,TYPE OF SUPPORT,FUNDING PROGRAM,MODALIDAD,ENTITY,"GOVERNMENT PROJECT 
ID",PROJECT NAME,STARTING DATE,"CLOSING 
DATE",EXTENSION,"TOTAL PROJECT AMOUNT
MXN","FEDERAL SUPPORT
MXN","STATE SUPPORT
MXN","GOVERNMENT SUPPORT
MXN","CONTINENTAL 
PAYMENT 
MXN",NEW HIRES,STATUS,FECHA CARTA FINIQUITO,"VENCIMIENTO 
DE PROYECTO",AUDITABLE,"DESTRUCCION 
DE 
EXPEDIENTE"
2008,GDL,STATE,Infrastructure,PROSOFT,N/A,"SE / 
COECYTJAL",20082434,TCIII,01/04/2008,30/06/2009,NA,"$18,098,025.00","$4,950,000.00","$3,000,000.00","$7,950,000.00","$10,148,025.00",50,CLOSED,25/01/2011,25/01/2016,No Auditable,26/01/2016
2008,GDL,STATE,Infrastructure,PROSOFT,N/A,"SE / 
COECYTJAL",20083091,TCIV,01/04/2008,30/06/2009,NA,"$12,563,740.30","$3,769,122.00","$2,512,748.00","$6,281,870.00","$6,281,870.30",80,CLOSED,30/11/2010,30/11/2015,No Auditable,01/12/2015
2009,GDL,FEDERAL,Infrastructure,PEI,INNOVATEC,CONACYT,111474,INNOVATEC,01/01/2009,31/12/2009,NA,"$118,005,106.12","$35,720,003.00",$0.00,"$35,720,003.00","$82,285,103.12",30,CLOSED,30/06/2010,30/06/2015,No Auditable,01/07/2015
2010,GDL,FEDERAL,Infrastructure,PEI,INNOVATEC,CONACYT,129795,INNOVATEC,01/01/2010,31/12/2010,NA,"$104,331,401.00","$36,000,000.00",$0.00,"$36,000,000.00","$68,331,401.00",50,CLOSED,04/07/2011,04/07/2016,No Auditable,05/07/2016
2010,GDL,STATE,Infrastructure,PROSOFT,N/A,"SE / 
COECYTJAL",119-2010,TCV,17/06/2010,30/06/2011,NA,"$5,669,432.00","$1,417,358.00","$1,417,358.00","$2,834,716.00","$2,834,716.00",72,CLOSED,02/12/2013,02/12/2018,No Auditable,03/12/2018
2011,GDL,FEDERAL,Infrastructure,PEI,INNOVATEC,CONACYT,150958,INNOVATEC,01/01/2011,31/12/2011,NA,"$104,334,000.00","$36,000,000.00",$0.00,"$36,000,000.00","$68,334,000.00",40,CLOSED,27/02/2013,27/02/2018,No Auditable,28/02/2017
2011,GDL,STATE,Infrastructure,PROSOFT,N/A,"SE / 
COECYTJAL",20115779,TCVI,03/01/2011,26/09/2012,NA,"$7,473,327.00","$1,868,332.00","$1,868,332.00","$3,736,664.00","$3,736,663.00",80,CLOSED,17/06/2014,17/06/2019,No Auditable,18/06/2019
2012,GDL,FEDERAL,Infrastructure,PEI,INNOVATEC,CONACYT,179028,INNOVATEC,01/01/2012,31/12/2012,NA,"$58,285,641.00","$20,111,500.00",$0.00,"$20,111,500.00","$38,174,141.00",28,CLOSED,13/06/2013,13/06/2018,No Auditable,14/06/2018
2012,GDL,STATE,Infrastructure,PROSOFT,N/A,"SE / 
COECYTJAL","20128579 /
1951-2012",R&D New Site,21/08/2012,20/08/2013,NA,"$33,371,628.00","$7,379,653.00","$1,600,000.00","$8,979,653.00","$24,391,975.00",80,CLOSED,19/11/2015,19/11/2020,No Auditable,20/11/2020
2012,GDL,STATE,Infrastructure,PROSOFT,N/A,"SE / 
COECYTJAL",20127738 / 1789-2012,TCVII,31/05/2012,30/05/2013,NA,"$9,976,965.00","$2,993,089.00","$1,995,393.00","$4,988,482.00","$4,988,483.00",125,CLOSED,22/10/2015,22/10/2020,No Auditable,23/10/2020
