YEAR,numero de año,PROGRAM,GRANT,ENTITY,INVENTORES,NUMBER OF PATENTS,FTO,SUPPORT PAYMENT TO AUTHORS,% bonus,SUPPORT FOR LEGAL ADVICE,% Legal, IMPI SERVICES  ,%IMPI Services ,TOTAL AMOUNT OF SUPPORT
2014,1,PROPIN,"Arochi, Marroquín & Lindner, S.C.",COECYTJAL,53,20,," $200,000.00 ",25%," $600,000.00 ",75%, $-   ,0%," $800,000.00 "
2015,2,CAPITAL INTELECTUAL,"Arochi, Marroquín & Lindner, S.C.",COECYTJAL,51,23,," $345,000.00 ",27%," $920,000.00 ",73%, $-   ,0%," $1,265,000.00 "
2016,3,CAPITAL INTELECTUAL,"Arochi, Marroquín & Lindner, S.C.",COECYTJAL,61,24,," $425,250.00 ",27%," $1,149,750.00 ",73%, $-   ,0%," $1,575,000.00 "
2017,4,CAPITAL INTELECTUAL,"Arochi, Marroquín & Lindner, S.C.",COECYTJAL,78,26,," $445,500.00 ",27%," $1,204,500.00 ",73%, $-   ,0%," $1,650,000.00 "
2018,5,CAPITAL INTELECTUAL,"Uhthoff, Gomez Vega & Uhthoff, S.C.",COECYTJAL,72,26,," $562,500.00 ",43%," $753,300.00 ",57%, $-   ,0%," $1,315,800.00 "
2019,6,CAPITAL INTELECTUAL,"Olivares y Compañía, S.C.",COECYTJAL,69,26,," $491,700.00 ",30%," $1,158,300.00 ",70%, $-   ,0%," $1,650,000.00 "
2020,7,CAPITAL INTELECTUAL,"Olivares y Compañía, S.C.",COECYTJAL,51,26,," $491,700.00 ",30%," $1,158,300.00 ",70%, $-   ,0%," $1,650,000.00 "
2021,8,CAPITAL INTELECTUAL,"Olivares y Compañía, S.C.",COECYTJAL,53,26,," $491,700.00 ",30%," $1,158,300.00 ",70%, $-   ,0%," $1,650,000.00 "
2022,9,CAPITAL INTELECTUAL,"Olivares y Compañía, S.C.",COECYTJAL,45,22,," $434,500.00 ",28%," $1,090,100.00 ",72%, $-   ,0%," $1,524,600.00 "
2023,10,CAPITAL INTELECTUAL,"Olivares y Compañía, S.C.",COECYTJAL,47,22,2," $431,500.00 ",27%," $1,184,000.00 ",73%," $100,100.00 ",6%," $1,615,500.00 "
2024,11,CAPITAL INTELECTUAL,"Olivares y Compañía, S.C.",COECYTJAL,55,22,2," $447,000.00 ",26%," $1,184,000.00 ",68%," $100,100.00 ",6%," $1,731,100.00 "
2025,12,CAPITAL INTELECTUAL,"Olivares y Compañía, S.C.",COECYTJAL,34,26,2," $402,000.00 ",21%," $1,384,000.00 ",73%," $118,300.00 ",6%," $1,904,300.00 "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
