No.,Despacho ,"Status
IMPI",Año de Registro,Proyecto,Tipo de registro de propiedad intelectual,Registro IMPI,Nombre,Estatus,Patente Otorgada,Razón Social,E Number,P Number
1,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/002667,CÁMARA DE SEGURIDAD INTERNA DE UN VEHÍCULO,ABANDONADA,,S.A. de C.V.,2012E00214  MX,2013P01050  MX
2,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/012682,ENCENDIDO INTELIGENTE,ABANDONADA,,S.A. de C.V.,2014E00790  MX,2014P03626  MX
3,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/012924,USO DEL MODELO POR INYECIÓN TÉRMICAMENTE CONDUCTIVA PARA DISIPACIÓN TÉRMICA APLICADA EN DISPOSITIVOS ELECTRÓNICOS,ABANDONADA,,S.A. de C.V.,2013E01525  MX,2014P03623  MX
4,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/013351,DISPOSITIVO DE ILUMINACIÓN ÓPTICO DE EDECTO TUNEL INFINITO,ABANDONADA,,S.A. de C.V.,2013E03709  MX,2014P05086  MX
5,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/013717,DETECCIÓN DE OBSTÁCULOS EN PUERTA LEVADIZA UTILIZANDO LA CÁMARA TRASERA EXISTENTE,ABANDONADA,,S.A. de C.V.,2012E00022  MX,2013P01051  MX
6,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/013831,MÉTODO PARA DETECTAR LUCES DE INTENSIDAD ALTA DE VEHÍCULOS OMITIENDO LUCES ROJAS,ABANDONADA,,S.A. de C.V.,2014E00789  MX,2014P01665  MX
7,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/015385,CONTROL SIN CONTACTO DE UN MÓDULO TELEMÁTICO,ABANDONADA,,S.A. de C.V.,2013E03548  MX,2014P03624  MX
8,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/015506,SISTEMA DE CONTROL DE ACCESO REMOTO PARA VEHÍCULOS ACTIVADOS POR GESTOS DACTILARES CON TECNOLOGÍA DE BOTONES SENSIBLES AL TACTO,ABANDONADA,,S.A. de C.V.,2013E03571  MX,2014P03625  MX
9,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/015718,"SISTEMA Y MÉTODO DE DETECCIÓN DE INFANTES EN UN VEHÍCULO, PARA EL CONTROL DE LOS CINTURONES DE SEGURIDAD",ABANDONADA,,S.A. de C.V.,2014E00504  MX,2014P06709  MX
10,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/015859,SISTEMA ANTIRROBO DE ESPEJOS EXTERIORES Y MÉTODO PARA ACTIVAR UN IDENTIFICADOR DE EVENTO DE ROBO DEL MISMO,ABANDONADA,,S.A. de C.V.,2013E02908  MX,2014P06707  MX
11,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/016093,SISTEMA PARA LA ESTIMACIÓN DE LAS EMISIONES DE GASES CONTAMINANTES DE UN MOTOR DE COMBUSTIÓN INTERNA DE UN VEHÍCULO AUTOMÓVIL,ABANDONADA,,S.A. de C.V.,2013E02825  MX,2014P06708  MX
12,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2014,2014,Patente,MX/a/2014/016124,"SISTEMA DE PERMISOS DE RUTAS, ZONAS Y DESTINOS PARA VEHÍCULOS AUTO CONDUCIDOS",ABANDONADA,,S.A. de C.V.,2014E00411  MX,2014P06706  MX
13,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2014,Patente,MX/a/2015/002595,SISTEMA ANTIRROBO PARA RUEDAS CON SISTEMA DE PRESENCIA DE TUERCAS,ABANDONADA,,S.A. de C.V.,2013E03490  MX,2014P06222  MX
14,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2014,Patente,MX/a/2015/007445,ESCUDO PROTECTOR DE NEUMÁTICOS ,ABANDONADA,,S.A. de C.V.,2013E03406  MX,2014P06221  MX
15,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2014,Patente,MX/a/2015/008323,ELECTRODO CON UNA PELÍCULA CONDUCTORA Y TRANSPARENTE BASADA EN UN COMPUESTO SEMICONDUCTOR,ABANDONADA,,S.A. de C.V.,2014E00893  MX,2014P06190  MX
16,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2014,Patente,MX/a/2015/008324,INTERFAZ DE USUARIO DE CONTROL REMOTO,ABANDONADA,,S.A. de C.V.,2013E02793  MX,2014P06218  MX
17,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2014,Patente,MX/a/2015/008325,SISTEMA DE TRANSFERENCIA DE COMBUSTIBLE,ABANDONADA,,S.A. de C.V.,2013E02602  MX,2014P06217  MX
18,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2014,Patente,MX/a/2015/008326,TAPA DE PUNTERO COMO INDICADOR DE ADVERTENCIA,ABANDONADA,,S.A. de C.V.,2014E05950  MX,2015P02728  MX
19,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2014,Patente,MX/a/2015/008327,SISTEMA DE CONFIGURACIÓN DE VEHÍCULO POR COMUNICACIÓN DE CAMPO CERCANO.,ABANDONADA,,S.A. de C.V.,2013E03381  MX,2014P06300  MX
20,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2014,Patente,MX/a/2015/008328,SISTEMA DE LOCALIZADOR DE LLAVE,ABANDONADA,,S.A. de C.V.,2013E03918  MX,2014P06188  MX
21,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2015,Patente,MX/a/2015/007684,SISTEMA UNIVERSAL DE ALMACENAJE Y TRANSMISIÓN DE IDENTIFICACIONES RFID,ABANDONADA,,S.A. de C.V.,2013E03114  MX,2014P06189  MX
22,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2015,Patente,MX/a/2015/017722,SISTEMA DE ALERTA DE COLISIÓN DE VEHÍCULO,ABANDONADA,,S.A. de C.V.,2015E00057  MX,2015P06618  MX
23,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2015,Patente,MX/a/2015/017723,INDICADOR FLEXIBLE DE COLOR PARA TABLERO NEGRO,ABANDONADA,,S.A. de C.V.,2014E05949  MX,2015P06613  MX
24,"Arochi, Marroquín & Lindner, S.C.",OTORGADA,2015,2015,Patente,MX/a/2015/017725,INFORMACIÓN AUTOMÁTICA SOBRE SEÑALES DE ADVERTENCIA DE CUADRO DE INSTRUMENTOS,ACTIVA,MX360115,S.A. de C.V.,2014E06037  MX,2015P06614  MX
25,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2015,Patente,MX/a/2015/017726,SENSOR CAPATIVO VARIABLE PARA POSICIONAR EL PUNTERO DEL CUADRO DE INSTRUMENTOS USANDO UNA PLACA DE CIRCUITO VARIABLE,ABANDONADA,,S.A. de C.V.,2014E05632  MX,2015P06612  MX
26,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2015,Patente,MX/a/2015/017727,SISTEMA DE VISIÓN TRASERA DENTRO DE VEHÍCULO UTILIZANDO TECNOLOGÍA DE VISUALIZACIÓN CABEZA ARRIBA,ABANDONADA,,S.A. de C.V.,2015E02804  MX,2015P06616  MX
27,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2015,Patente,MX/a/2015/017728,SISTEMA DE REGISTRO DE MANEJO PERSONAL,ABANDONADA,,S.A. de C.V.,2014E01157  MX,2015P06609  MX
28,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2015,2015,Patente,MX/a/2015/017729,SISTEMA DE AJUSTE DE VOLUMEN AUTOMÁTICO BASADO EN LA CONVERSACIÓN DE LOS PASAJEROS,ABANDONADA,,S.A. de C.V.,2014E05242  MX,2015P06611  MX
29,"Arochi, Marroquín & Lindner, S.C.",OTORGADA,2015,2015,Patente,MX/a/2015/017734,SISTEMA DE RETROALIMENTACIÓN CON LLAVE DE TECNOLÓGICA INALÁMBRICA,ACTIVA,MX359850,S.A. de C.V.,2014E06093  MX,2015P06615  MX
30,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/002454,DETECTOR DE LLAMDAS TELEFÓNICAS,ABANDONADA,,S.A. de C.V.,2013E03854  MX,2015P06608  MX
31,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/002456,CONECTOR FRONTAL OPTO-MAGNÉTICO,ABANDONADA,,S.A. de C.V.,2014E05067  MX,2015P06610  MX
32,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/002737,DETECCIÓN DE VEHÍCULO DE EMERGENCIA POR MEDIO DE ALERTAS DE RADIOFRECUENCIA DE VEHÍCULO A VEHÍCULO,ABANDONADA,,S.A. de C.V.,2014E06064  MX,2016P00100  MX
33,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/002834,DETECCIÓN TEMPRANA DE CHOQUE MEDIANTE SENSOR DE PRESIÓN DE MANO EN VOLANTE ,ABANDONADA,,S.A. de C.V.,2014E04420  MX,2015P06617  MX
34,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/003148,SISTEMA DE RECONOCIMIENTO DE CONDUCTOR,ABANDONADA,,S.A. de C.V.,2014E05928  MX,2016P00095  MX
35,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/003404,DETECTOR DE TEMPERATURA Y CO2,ABANDONADA,,S.A. de C.V.,2014E05985  MX,2016P00098  MX
36,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/003608,SISTEMA DE SEGURIDAD PARA VOLANTE BASADO EN SENSORES ELECTROMAGNÉTICOS,ABANDONADA,,S.A. de C.V.,2014E06984  MX,2016P00104  MX
37,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/003610,LUCES SECUNDARIAS DE FRENO,ABANDONADA,,S.A. de C.V.,2014E06781  MX,2016P00103  MX
38,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/003996,DETECCIÓN DE COLORES EN SEMAFORO Y ALERTA AL CONDUCTOR EN CASO DE QUE SE ENCUENTRE DISTRAÍDO,ABANDONADA,,S.A. de C.V.,2014E06417  MX,2016P00102  MX
39,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/003997,MALLA DE BLINDAJE TRANSPARENTE PARA JAULA FARADAY PARA PROTECCIÓN EMC (COMPATIBILIDAD ELECTROMAGNÉTICA DE PANTALLA),ABANDONADA,,S.A. de C.V.,2015E00317  MX,2016P00093  MX
40,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/004045,SOLICITUD DE DIAGNÓSTICO PREVENTIVO EN ETAPAS DE POTENCIA,ABANDONADA,,S.A. de C.V.,2014E00498  MX,2016P00096  MX
41,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/004154,SISTEMA DE DETECCIÓN PARA LA PREVENCIÓN DE GOLPES A MARCOTAS O PEQUEÑOS,ABANDONADA,,S.A. de C.V.,2014E06012  MX,2016P00099  MX
42,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/004258,SISTEMA DE COMUNICACIÓN VEHÍCULO-A-VEHÍCULO DE ESTACIONAMIENTO Y MÉTODO DEL MASIVO,ABANDONADA,,S.A. de C.V.,2014E06115  MX,2016P00101  MX
43,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2015,Patente,MX/a/2016/004456,"ALOJAMIENTO DE UNIDAD DE CONTROL DE MOTOR, PLÁSTICO.ALUMINIO SOBRE MOLDEAD Y TÉRMICAMENTE SELLADO",ABANDONADA,,S.A. de C.V.,2014E06944  MX,2016P00591  MX
44,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/012971,MÉTODO PARA CALCULAR LA ENTROPÍA DE UN BUS DE DATOS DE RED,ABANDONADA,,S.A. de C.V.,2014E00924  MX,2016P00097  MX
45,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/012972,CARCASA DE PLÁSTICO CON MALLA METÁLICA EMBEBIDA,ABANDONADA,,S.A. de C.V.,2015E05915  MX,2016P04027  MX
46,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/012973,EXHIBIDOR TRASERO DE VEHÍCULO PARA MÚLTIPLES INDICADORES,ABANDONADA,,S.A. de C.V.,2015E06211  MX,2016P04018  MX
47,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/012974,DISIPADOR DE CALOR DE CELDA DE PELTIER PARA UNIDAD DE CONTROL REMOTO,ABANDONADA,,S.A. de C.V.,2015E06328  MX,2016P04362  MX
48,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/012975,SOPORTE DE CARGA DE REPOSACABEZAS PARA DISPOSITIVOS INTELIGENTES,ABANDONADA,,S.A. de C.V.,2015E06472  MX,2016P04017  MX
49,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/012976,SISTEMA RECOLECTOR DE CALOR A PARTIR DE LÁMINA DE METAL PARA RECARGA DE BATERÍA DE VEHÍCULO,ABANDONADA,,S.A. de C.V.,2015E05916  MX,2016P04026  MX
50,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/012977,ENFRIADOR PARA TANQUE DE COMBUSTIBLE,ABANDONADA,,S.A. de C.V.,2014E05984  MX,2016P04023  MX
51,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/013228,SENSOR DE MEDICIÓN DE NIVEL DE AGUA,ABANDONADA,,S.A. de C.V.,2015E05917  MX,2016P04025  MX
52,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/013229,SISTEMA DE FRENADO BASADO EN EL DESINFLADO DEL NEUMÁTICO,ABANDONADA,,S.A. de C.V.,2015E06107  MX,2016P04021  MX
53,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,Mx/a/2016/013231,MÓDULOS DE CONECTIVIDAD INTERCAMBIABLE,ABANDONADA,,S.A. de C.V.,2015E05471  MX,2016P04028  MX
54,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/013232,MONITOREO DE CARGA Y SISTEMA DE BALANCEO DE CAJA DE CAMIÓN,ABANDONADA,,S.A. de C.V.,2016E00396  MX,2016P04016  MX
55,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/013310,ASEGURAMIENTO DE PUERTA ELÉCTRICA PARA NIÑOS UTILIZANDO UN CONTROL REMOTO FOB,ABANDONADA,,S.A. de C.V.,2015E06215  MX,2016P04019  MX
56,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/013313,MEDICIÓN DE CALIDAD DE COMBUSTIBLE BASADO EN DIVERSOS PARÁMETROS DEL AUTOMÓVIL,ABANDONADA,,S.A. de C.V.,2015E06074  MX,2016P04022  MX
57,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/013315,SISTEMA DE COMUNICACIÓN DE CARAVANAS DE VIAJE,ABANDONADA,,S.A. de C.V.,2016E00481  MX,2016P04015  MX
58,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/013318,SISTEMA INTELIGENTE DE ASIENTO TRASERO DOBLE,ABANDONADA,,S.A. de C.V.,2016E01433  MX,2016P04013  MX
59,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2016,2016,Patente,MX/a/2016/013546,EXTENSIÓN DE LENGUAJE DE PROGRAMACIÓN PARA SEGURIDAD FUNCIONAL,ABANDONADA,,S.A. de C.V.,2015E05941  MX,2016P04024  MX
60,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2017,2016,Patente,MX/a/2017/002334,SISTEMA OBD VIRTUAL PARA ANÁLISIS DE DATOS,ABANDONADA,,S.A. de C.V.,2016E00833  MX,2016P07781  MX
61,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2017,2016,Patente,MX/a/2017/002521,ESTÍMULO VISUAL Y SENSORIAL PARA PERSONAS CON PROBLEMAS AUDITIVOS,ABANDONADA,,S.A. de C.V.,2015E07442  MX,2016P07784  MX
62,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2017,2016,Patente,MX/a/2017/002522,SISTEMA DE IDENTIFICACIÓN DE LUCES AVERIADAS DE VEHÍCULO,ABANDONADA,,S.A. de C.V.,2015E07450  MX,2016P07782  MX
63,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2017,2016,Patente,MX/a/2017/002523,"CONTROLADOR DE LADO BAJO CON CONTROL DE CORRIENTE AJUSTABLE, RECIRCULACIÓN DE ENERGÍA Y ALMACENAMIENTO",ABANDONADA,,S.A. de C.V.,2015E07224  MX,2016P07786  MX
64,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2017,2016,Patente,MX/a/2017/002525,CÁLCULO DE LA RUTA MÁS EFECTIVA POR MEDIO DE DATOS DE TRÁFICO EN TIEMPO REAL DESDE UN VEHÍCULO AÉREO NO TRIPULADO,ABANDONADA,,S.A. de C.V.,2016E01483  MX,2016P07780  MX
65,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2017,2016,Patente,MX/a/2017/002526,ASEGURAMIENTO DE RUEDAS,ABANDONADA,,S.A. de C.V.,2016E04635  MX,2016P07778  MX
66,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2017,2016,Patente,MX/a/2017/002527,DETECCIÓN MULTI-USUARIO DE PERFIL INTELIGENTE,ABANDONADA,,S.A. de C.V.,2016E01674  MX,2016P07779  MX
67,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2017,2016,Patente,MX/a/2017/002528,USO DE RECIRCULACIÓN DE ENERGÍA PARA ENFRIAMIENTO ,ABANDONADA,,S.A. de C.V.,2015E06343  MX,2016P07787  MX
68,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2017,2017,Patente,MX/a/2017/002335,SISTEMA DE ALERTA DE OTROS CONDUCTORES CON HÁBITOS DE MANEJO PELIGROSOS,ABANDONADA,,S.A. de C.V.,2015E07292  MX,2016P07785  MX
69,"Arochi, Marroquín & Lindner, S.C.",ABANDONADA,2017,2017,Patente,MX/a/2017/015436,ASISTENCIA DE EMERGENCIA DE SALUD/MÉDICA PARA VEHÍCULOS AUTÓNOMOS,ABANDONADA,,S.A. de C.V.,2016E04664  MX,2017P06615  MX
