Planta ,Proyecto (TAE),Curso ,Participantes,Hombres ,Femenino, Monto total ,Aportación Gobierno,Aportación Conti
Santa Anita ,2022,Seguridad para embebidos ,20.00,17.00,3.00,"$382,700.00","$191,350.00","$191,350.00"
Santa Anita ,2022,Estimación,33.00,26.00,7.00,"$198,000.00","$99,000.00","$99,000.00"
Santa Anita ,2022,IREB,60.00,46.00,14.00,"$905,000.00","$452,500.00","$452,500.00"
Santa Anita ,2022,ISTQB Test Manager ,17.00,16.00,1.00,"$178,451.31","$89,225.66","$89,225.66"
Santa Anita ,2022,Linux ,30.00,26.00,4.00,"$240,000.00","$120,000.00","$120,000.00"
Periferico ,2022,"Curso DAX, SCRIPTS Y PYTHON",68.00,53.00,15.00,"$450,840.00","$225,420.00","$225,420.00"
Tijera,2022,POWER BI - DEVELOPER,21.00,14.00,7.00,"$163,590.00","$81,795.00","$81,795.00"
Tijera,2022,POWER BI - AVANZADO,15.00,10.00,5.00,"$132,105.00","$66,052.50","$66,052.50"
Periferico ,2022,SCRUM - DEVELOPER CERTIFIED ,32.00,29.00,3.00,"$353,760.00","$176,880.00","$176,880.00"
Tijera,2022,SCRUM - PRODUCT OWNER,2.00,2.00,0.00,"$25,350.00","$12,675.00","$12,675.00"
Tijera,2022,RESPONDING TO CIBERSECURITY ,1.00,1.00,0.00,"$14,599.00","$7,299.50","$7,299.50"
Tijera,2022,VMware vSphere:Install,1.00,1.00,0.00,"$33,990.00","$16,995.00","$16,995.00"
Tijera,2022,MD-100 para WINDOWS 11,3.00,2.00,1.00,"$43,635.00","$21,817.50","$21,817.50"
Tijera,2022,Excel intermedio,15.00,11.00,4.00,"$56,325.00","$28,162.50","$28,162.50"
Periferico ,2022,Macros ,13.00,11.00,2.00,"$49,335.00","$24,667.50","$24,667.50"
Periferico ,2022,RPA Automation,6.00,5.00,1.00,"$68,370.00","$34,185.00","$34,185.00"
Periferico ,2022,SolidWorks ,11.00,9.00,2.00,"$21,120.00","$10,560.00","$10,560.00"
Periferico ,2022,SQL,7.00,7.00,0.00,"$72,135.00","$36,067.50","$36,067.50"
Periferico ,2022,Train de Trainers ,8.00,3.00,5.00,"$37,200.00","$18,600.00","$18,600.00"
Periferico ,2022,C++ (fundamentals) ,14.00,14.00,0.00,"$136,570.00","$68,285.00","$68,285.00"
Periferico ,2022,SE ISTQB - Agile Tester ,7.00,7.00,0.00,"$51,440.20","$25,720.10","$25,720.10"
