Año,Fecha,Estado,Organizacion,Unidad,Sector,Nombre_Interaccion,ID_Proyecto,Categoria,Tipo,Impacto Directo,Impacto Indirecto,Asistentes,Tipo de participación,Justificación de asistencia de EC,Resultado del evento,
2025,01/01/2025,GDL,GOB JALISCO,NA,Gobierno,Encuentro SICYT y Sector Empresarial SICyT / SEDECO - Jarumi R.,NA,Estratégica,Reunión,,,Jarumi R,,,,
2025,01/01/2025,GDL,SEDECO GDL ,NA,Gobierno,Reunión plenaria del sector automotriz SEDECO,NA,Estratégica,Reunión,,,Edú L. y Elisa T.,,,,
2025,05/02/2025,QRO,CLAUT-NL,NA,Cluster,Mesa de Trabajo Competencias AM- CLAUT-NL,NA,Estratégica,Mesa de trabajo,,,Eloy Ochoa,asistente,,,
2025,06/02/2025,GDL,ITESM GDL,ESCUELA DE INGENIERIA,Institución Académica,Desayuno ITESMGDL- programa de ingeniería,NA,Relacionamiento,Evento,,,Contiagents,asistente,,,
2025,06/02/2025,QRO,BLOQUE,NA,Gobierno,Visita a bloque para grabar videos cursos,NA,Estratégica,Visita,,,,asistente,,,
2025,06/02/2025,QRO,GENERAL ELECTRIC,NA,Cluster,SWE Filial Qro- Virtual GE,NA,Estratégica,Reunión,,,Maryel D. y Sonia J.,asistente,,,
2025,20/02/2025,QRO,GENERAL MOTORS ,NA,Sector Privado,Plática Innovacion-Vinculación para GM- virtual,NA,Transferencia de conocimiento,Conferencia,,,,speaker,,,
2025,20/02/2025,QRO,UAQ,FACULTAD DE INGENIERIA,Institución Académica,Examen Tesis UAQ-ACC proyecto tésis cerrada,NA,Estratégica,Evento,4,,Contiagents,speaker,,,
2025,21/02/2025,QRO,CLAUT-NL,NA,Cluster,"CLAUTNL ""La revisión de as cometencias requeridad por la industria automotriz ",NA,Relacionamiento,Evento,,,David P.,speaker,,,
2025,27/02/2025,GDL,CANIETI,NA,Cluster,Jornadas de IA,NA,Estratégica,Reunión,,,Luis B.,asistente,,,
2025,28/02/2025,GDL,CANIETI,NA,Cluster,Jornadas de IA,NA,Estratégica,Reunión,,,Luis B.,asistente,,,
2025,03/03/2025,GDL,SICYT,NA,Gobierno,Visita SICyT a Continental -,NA,Estratégica,Visita,,,Edú L. / Elisa T. / Luis B. / Jarumi R,,,,
2025,07/03/2025,QRO,CEQ,NA,Cluster,Club Industriales SEDESU- Cluster energía--tema semiconductores,NA,Estratégica,Mesa de trabajo,,,David P.,panelista,,,
2025,12/03/2025,QRO,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",Institución Académica,Workshop Distrito Qro,PQ_8,Transferencia de conocimiento,Workshop,,,Maryel D.,asistente,,,
2025,13/03/2025,GDL,SICYT,NA,Gobierno,Visita de Secretario SICyT Jalisco,NA,Estratégica,Visita,,,,,,,
2025,19/03/2025,QRO,,NA,Sector Privado,"Panel-""IA, Digitalización y Ciberseguridad: Transformando Procesos Empresariales""",NA,Transferencia de conocimiento,Panel,30,,Luis. B,panelista,,,
2025,20/03/2025,GDL,UDG,CADS,Institución Académica,Visita a UDG CADS (Centro de super computo),NA,Estratégica,Visita,,,Luis. B,,,,
2025,20/03/2025,QRO,CLUSTER AUTOMOTRIZ,NA,Cluster,Sesión Cluster Automotriz Resultados,NA,Relacionamiento,Evento,,,,,,,
