ID_Proyecto,Estado ,Nombre,Organización,Unidad,Estatus,Tipo,Gestión,Año,,,
PQ_1,QRO,Estancias IA,ITESM QRO,ESCUELA DE INGENIERIA,En proceso,Eficiencia Interna,Liaison,2025,,,
PQ_2,QRO,Prestamo Radares,IPN,CICATA,En proceso,Talento y Academia,Liaison,2025,,,
PG_3,GDL,Gestión de Convenio,IPN,ESIME,En proceso,Talento y Academia,Academy Agents,2025,,,
PC_4,CDMX,Visita de scouting de capacidades tecnológicas,UNAM,CENTRO DE DOCENCIA,En proceso,Desarrollo tecnológico,Academy Agents,2025,,,
PQ_5,QRO,Formación Dual,UAQ,AREA CENTRAL,Onhold,Talento y Academia,Academy Agents,2025,,,
PC_6,CDMX,Visita de scouting de capacidades tecnológicas,IPN,AREA CENTRAL,Onhold,Desarrollo tecnológico,Liaison,2025,,,
PQ_7,QRO,Living Lab,IPN,REINVA,Onhold,Infraestructura,Academy Agents,2025,,,
PQ_8,QRO,DistritoQro Corporate Think Thank,DISTRITO QRO,"COMISION DE INNOVACIÓN, INVESTIGACIÓN Y EMPRENDIMIENTO",En proceso,Desarrollo tecnológico,Liaison,2025,,,
PQ_9,QRO,Carrera Panamericana,ITESM QRO,CENTRAL,Cerrado,Talento y Academia,Liaison,2025,,,
PQ_11,QRO,Premio Aliado Cardenal,UPQ,AREA CENTRAL,En proceso,Talento y Academia,Academy Agents,2025,,,
PQ_12,QRO,Gravity Cars,UTEQ,AREA CENTRAL,En proceso,Talento y Academia,Academy Agents,2025,,,
PQ_13,QRO,Gestión de convenio colaboración,UTEQ,AREA CENTRAL,En proceso,Talento y Academia,Liaison,2025,,,
PG_14,GDL,Gestión de convenio de colaboración INNOVACIÓN,UAG,DIRECCION INNOVACION,En proceso,Desarrollo tecnológico,Academy Agents,2025,,,
PG_15,GDL,Gestión de convenio de colaboración,UDG,CUCEI,En proceso,Desarrollo tecnológico,Liaison,2025,,,
PQ_16,QRO,ROBOUAQ,UAQ,FACULTAD DE INGENIERIA,Cerrado,Talento y Academia,Academy Agents,2025,,,
PQ_17,QRO,Workshop ICASAT,IPN,CICATA,Cerrado,Talento y Academia,Academy Agents,2025,,,
PH_18,HDL,Workshop CONMYCIT,IPN,REINVA,Cerrado,Talento y Academia,Academy Agents,2025,,,
PG_19,GDL,Conferencia Linux,UAG,FACULTAD DE INGENIERIA,Cerrado,Talento y Academia,Academy Agents,2025,,,
PQ_20,QRO,Conferencia the future in motion,UPQ,AREA CENTRAL,Cerrado,Talento y Academia,Academy Agents,2025,,,
PQ_21,QRO,Plática Engineering Week,ASUQ,FACULTAD DE INGENIERIA,Cerrado,Talento y Academia,Academy Agents,2025,,,
PG_23,GDL,HUB Movilidad,GOB JAL,NA,En proceso,Desarrollo tecnológico,Liaison,2025,,,
PQ_24,QRO,CIMA ,ITESM QRO,CIMA,Cancelado,Infraestructura,Liaison,2025,,,
PG_25,GDL,Semana BEIFI ,IPN,ESIME,Cerrado,Talento y Academia,Academy Agents,2025,,,
